Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AMERICAN AIRLINES";US02376R1023;1AAL;"Euronext Global Equity Market";EUR;9.36;9.366;9.249;9.249;"26/08/2024 16:57";CET;560;5230.86;9.183;26/08/2024
"AMERICAN AIRLINES";US02376R1023;2AAL;"Trading After Hours";EUR;9.45;9.45;9.45;9.45;"24/07/2024 20:13";CET;150;1417.50;9.92;31/07/2024
"AMERICAN AIRLINES";US02376R1023;4AAL;EuroTLX;EUR;8.736;9.128;8.736;8.753;"'06/08/2024 13:45";CET;9200;81905.50;9.163;26/08/2024
"AMERICAN EXPRESS";US0258161092;2AXP;"Trading After Hours";EUR;227.10;227.10;227.10;227.10;"26/07/2024 19:01";CET;1;227.10;235.75;31/07/2024
"AMERICAN EXPRESS";US0258161092;4AXP;EuroTLX;EUR;208.80;208.80;208.80;208.80;"'08/08/2024 10:06";CET;25;5220.00;226.90;26/08/2024
"AMERICAN EXPRESS";US0258161092;1AXP;"Euronext Global Equity Market";EUR;225.25;225.25;225.00;225.00;"26/08/2024 14:31";CET;37;8330.00;226.95;26/08/2024
"AMERICAN INTERN";US0268747849;2AIG;"Trading After Hours";EUR;70.25;70.25;70.25;70.25;"10/04/2024 19:01";CET;15;1053.75;73.37;31/07/2024
"AMERICAN INTERN";US0268747849;4AIG;EuroTLX;EUR;72.94;72.94;72.94;72.94;"'04/04/2024 11:39";CET;6;437.64;67.29;26/08/2024
"AMERICAN INTERN";US0268747849;1AIG;"Euronext Global Equity Market";EUR;71.58;71.58;71.58;71.58;"30/05/2024 10:00";CET;85;6084.30;67.32;26/08/2024
"AMERICAN TOWER R";US03027X1000;2AMT;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"AMERICAN TOWER R";US03027X1000;1AMT;"Euronext Global Equity Market";EUR;202.85;202.85;202.85;202.85;"26/08/2024 10:17";CET;50;10142.50;202.80;26/08/2024
"AMERICAN TOWER R";US03027X1000;4AMT;EuroTLX;EUR;172.14;172.14;172.14;172.14;"13/05/2024 14:56";CET;58;9984.12;202.90;26/08/2024
"AMERICAN WATER WOR";US0304201033;4AWK;EuroTLX;EUR;129.45;129.45;125.85;125.85;"19/08/2024 10:31";CET;32;4113.60;126.45;26/08/2024
